;;;650;358;162;120;78;41;30;22;15;14;15;22;9;2;5;0
;;;0;10;20;30;40;50;60;70;80;90;100;100;120;130;150;170
бЙКЧВЕМХЕ;нРЙКЧВЕМХЕ;пЮАНРЮ;10;20;30;40;50;60;70;80;90;100;110;120;130;140;160;180
03.02.2020 5:10;03.02.2020 5:11;16;кнфэ;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ
03.02.2020 5:11;03.02.2020 5:12;41;кнфэ;кнфэ;кнфэ;кнфэ;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ
03.02.2020 5:13;03.02.2020 5:13;19;кнфэ;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ
03.02.2020 5:14;03.02.2020 5:14;11;кнфэ;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ
03.02.2020 5:15;03.02.2020 5:15;8;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ
03.02.2020 5:17;03.02.2020 5:18;38;кнфэ;кнфэ;кнфэ;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ
03.02.2020 5:19;03.02.2020 5:19;2;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ
03.02.2020 5:20;03.02.2020 5:21;44;кнфэ;кнфэ;кнфэ;кнфэ;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ
03.02.2020 5:21;03.02.2020 5:21;6;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ
03.02.2020 5:22;03.02.2020 5:23;57;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ
03.02.2020 6:12;03.02.2020 6:12;35;кнфэ;кнфэ;кнфэ;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ
03.02.2020 6:50;03.02.2020 6:50;24;кнфэ;кнфэ;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ
03.02.2020 6:51;03.02.2020 6:51;10;кнфэ;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ
