Включение;Отключение;Работа;уровень
2020-01-23 23:32:38;2020-01-23 23:33:40;62;
2020-01-23 23:34:44;2020-01-23 23:34:55;11;
2020-01-23 23:38:54;2020-01-23 23:40:20;86;
2020-01-23 23:49:37;2020-01-23 23:53:07;210;
2020-01-23 23:54:08;2020-01-23 23:54:16;8;
2020-01-23 23:55:42;2020-01-24 00:00:57;315;
2020-01-24 00:01:18;2020-01-24 00:01:24;6;
2020-01-24 00:09:40;2020-01-24 00:11:04;84;
2020-01-24 00:12:36;2020-01-24 00:12:46;10;
2020-01-24 00:14:56;2020-01-24 00:18:04;188;
2020-01-24 00:18:41;2020-01-24 00:21:52;191;
2020-01-24 00:22:59;2020-01-24 00:28:35;336;
2020-01-24 00:33:06;2020-01-24 00:36:37;211;
2020-01-24 05:56:17;2020-01-24 05:57:41;84;
2020-01-24 05:59:10;2020-01-24 05:59:12;2;
2020-01-24 06:01:29;2020-01-24 06:02:53;84;
2020-01-24 06:03:22;2020-01-24 06:06:52;210;
2020-01-24 08:56:06;2020-01-24 08:58:31;145;
2020-01-25 07:55:35;2020-01-25 07:57:39;124;
2020-01-25 22:51:08;2020-01-25 22:53:15;127;
2020-01-25 22:55:48;2020-01-25 22:58:16;148;
2020-01-25 23:12:42;2020-01-25 23:13:46;64;
2020-01-25 23:23:08;2020-01-25 23:23:11;3;
2020-01-25 23:23:21;2020-01-25 23:23:30;9;
2020-01-25 23:29:35;2020-01-25 23:33:05;210;
2020-01-25 23:34:20;2020-01-25 23:34:28;8;
2020-01-25 23:37:45;2020-01-25 23:39:11;86;
2020-01-25 23:42:11;2020-01-25 23:42:19;8;
2020-01-25 23:44:12;2020-01-25 23:44:14;2;
2020-01-26 00:08:16;2020-01-26 00:09:18;62;
2020-01-26 00:09:37;2020-01-26 00:11:00;83;
2020-01-26 00:19:23;2020-01-26 00:21:51;148;
2020-01-26 00:23:19;2020-01-26 00:24:43;84;
2020-01-26 00:24:59;2020-01-26 00:26:22;83;
2020-01-26 00:29:01;2020-01-26 00:30:27;86;
2020-01-26 00:34:01;2020-01-26 00:38:34;273;
2020-01-26 00:39:14;2020-01-26 00:39:25;11;
2020-01-26 00:39:38;2020-01-26 00:40:59;81;
2020-01-26 00:43:45;2020-01-26 00:45:09;84;
2020-01-26 00:48:17;2020-01-26 00:48:20;3;
2020-01-26 00:48:55;2020-01-26 00:51:23;148;
2020-01-27 01:20:18;2020-01-27 01:21:23;65;
2020-01-27 01:22:13;2020-01-27 01:22:25;12;
2020-01-27 01:28:44;2020-01-27 01:29:46;62;
2020-01-27 01:44:12;2020-01-27 01:44:33;21;
2020-01-27 01:46:50;2020-01-27 01:47:55;65;
2020-01-27 01:49:21;2020-01-27 01:49:31;10;
2020-01-27 01:52:18;2020-01-27 01:53:44;86;
2020-01-29 00:31:06;2020-01-29 00:31:28;22;
2020-01-29 00:32:20;2020-01-29 00:32:22;2;
2020-01-29 01:56:32;2020-01-29 01:57:34;62;
2020-02-01 11:17:31;2020-02-01 11:18:34;63;
2020-02-01 11:25:08;2020-02-01 11:25:27;19;
2020-02-01 11:27:18;2020-02-01 11:28:21;63;
2020-02-01 11:32:22;2020-02-01 11:33:47;85;
2020-02-04 00:34:18;2020-02-04 00:35:20;62;
2020-02-04 11:51:10;2020-02-04 11:51:13;3;
2020-02-04 11:56:59;2020-02-04 11:58:23;84;
2020-02-04 12:02:03;2020-02-04 12:02:14;11;
2020-02-04 12:02:52;2020-02-04 12:04:16;84;
2020-02-04 12:09:51;2020-02-04 12:11:15;84;
2020-02-04 12:11:42;2020-02-04 12:14:09;147;
2020-02-04 12:16:52;2020-02-04 12:18:17;85;
2020-02-04 12:18:30;2020-02-04 12:21:00;150;
2020-02-04 12:24:16;2020-02-04 12:26:43;147;
2020-02-04 12:30:12;2020-02-04 12:33:41;209;
2020-02-04 12:38:52;2020-02-04 12:41:21;149;
2020-02-04 12:43:26;2020-02-04 12:46:15;169;
2020-02-04 12:49:12;2020-02-04 12:49:14;2;
2020-02-04 12:49:42;2020-02-04 12:49:50;8;
2020-02-04 12:50:05;2020-02-04 12:52:33;148;
2020-02-04 12:57:51;2020-02-04 12:59:18;87;
2020-02-04 13:08:14;2020-02-04 13:15:13;419;
2020-02-04 13:18:56;2020-02-04 13:24:14;318;
2020-02-04 13:25:11;2020-02-04 13:25:19;8;
2020-02-04 13:27:05;2020-02-04 13:27:11;6;
2020-02-04 13:28:51;2020-02-04 13:31:18;147;
2020-02-04 13:34:20;2020-02-04 13:34:29;9;
2020-02-04 13:41:33;2020-02-04 13:45:10;217;
2020-02-04 15:42:20;2020-02-04 15:42:23;3;
2020-02-04 16:04:44;2020-02-04 16:04:50;6;
2020-02-04 16:06:25;2020-02-04 16:07:52;87;
2020-02-04 16:11:37;2020-02-04 16:13:43;126;
2020-02-04 16:23:40;2020-02-04 16:23:44;4;
2020-02-06 03:45:48;2020-02-06 03:47:56;128;
2020-02-06 03:52:28;2020-02-06 03:54:55;147;
2020-02-06 12:34:54;2020-02-06 12:35:54;60;
2020-02-08 05:09:04;2020-02-08 05:10:07;63;
2020-02-08 19:58:26;2020-02-08 19:59:29;63;
2020-02-09 02:56:02;2020-02-09 02:56:45;43;
2020-02-09 02:59:10;2020-02-09 02:59:12;2;
2020-02-09 03:04:31;2020-02-09 03:04:50;19;
2020-02-09 03:06:22;2020-02-09 03:06:25;3;
2020-02-09 03:09:16;2020-02-09 03:11:43;147;
2020-02-09 03:21:55;2020-02-09 03:22:58;63;
2020-02-09 03:29:08;2020-02-09 03:29:10;2;
2020-02-09 03:30:26;2020-02-09 03:31:51;85;
2020-02-09 03:33:34;2020-02-09 03:37:47;253;
2020-02-09 03:43:27;2020-02-09 03:50:07;400;
2020-02-09 04:03:43;2020-02-09 04:07:13;210;
2020-02-09 04:24:40;2020-02-09 04:24:51;11;
2020-02-09 04:25:18;2020-02-09 04:26:42;84;
2020-02-09 04:28:07;2020-02-09 04:31:39;212;
2020-02-09 04:32:01;2020-02-09 04:34:25;144;
2020-02-09 04:36:44;2020-02-09 04:44:04;440;
2020-02-09 04:49:14;2020-02-09 04:49:17;3;
