06VT_GB01DI-02.UNIT05@BLOCK3;06VT_LP02AO-05.UNIT05@BLOCK3;
2020-01-04 09:20:11;0.20299999;
2020-01-10 08:53:49;0.085000001;
2020-01-12 13:46:50;0.106;
2020-01-13 23:55:50;0.34999999;
2020-01-14 12:24:55;0.366;
2020-01-15 22:37:30;0.152;
2020-01-16 13:50:36;0.34999999;
2020-01-19 02:08:45;0.18700001;
2020-01-20 22:09:39;0.097999997;
2020-01-21 11:01:19;0.255;
2020-01-22 22:15:50;0.161;
2020-01-23 22:11:02;0.233;
2020-01-26 09:33:32;0.176;
2020-01-28 23:04:56;0.111;
2020-01-30 20:14:16;0.331;
2020-02-03 07:04:44;0.296;
2020-02-04 11:12:33;0.271;
2020-02-07 11:23:26;0.126;
2020-02-10 22:04:19;0.134;
2020-02-12 10:58:35;0.106;
2020-02-13 17:53:18;0.273;
2020-02-14 18:07:40;0.236;
2020-02-16 20:56:21;0.18000001;
2020-02-17 23:42:52;0.15700001;
2020-02-25 22:16:11;0.354;
2020-02-26 16:30:06;0.17200001;
2020-02-28 08:28:11;0.384;
2020-03-02 12:07:31;0.1;
2020-03-02 19:01:37;0.116;
2020-03-03 22:27:18;0.23999999;
2020-03-04 22:33:49;0.20100001;
2020-03-06 22:51:17;0.41100001;
2020-03-11 12:57:58;0.184;
2020-03-14 08:34:52;0.20900001;
2020-03-17 22:50:16;0.112;
2020-03-18 23:32:52;0.34099999;
2020-03-20 15:37:58;0.081;
2020-03-21 00:00:02;0.097000003;
2020-03-21 10:51:06;0.26499999;
2020-03-21 14:31:40;0.108;
2020-03-21 21:40:59;0.153;
2020-03-23 18:40:43;0.108;
2020-03-24 10:37:08;0.215;
2020-03-24 16:20:54;0.215;
2020-03-25 09:17:39;0.119;
2020-03-25 20:31:07;0.39199999;
2020-03-25 22:49:20;0.18700001;
2020-03-25 23:44:51;0.123;
2020-03-26 04:29:44;0.21699999;
2020-03-26 21:51:08;0.426;
2020-03-27 21:52:44;0.287;
2020-04-06 09:28:50;0.0;
2020-04-06 09:32:28;0.0;
2020-04-06 09:34:31;0.0;
2020-04-06 09:35:36;0.0;
2020-04-06 09:37:42;0.0;
2020-04-09 19:54:51;0.248;
2020-04-10 07:40:26;0.33899999;
2020-04-11 01:30:20;0.215;
2020-04-11 14:42:15;0.139;
2020-04-13 08:55:00;0.56999999;
2020-04-13 17:00:27;0.479;
2020-04-18 09:01:58;0.31400001;
2020-04-18 12:59:36;0.43099999;
2020-04-18 15:48:44;0.154;
2020-04-19 21:58:00;0.123;
2020-04-20 00:41:07;0.113;
2020-04-24 09:43:07;0.15800001;
2020-04-25 02:27:41;0.58099997;
2020-04-26 20:16:35;0.55199999;
2020-04-29 17:47:46;0.308;
2020-04-29 18:36:20;0.168;
2020-04-30 19:00:10;0.303;
2020-05-04 11:32:10;0.39899999;
2020-05-04 15:53:22;0.243;
2020-05-06 00:26:17;0.13;
2020-05-31 15:48:24;0.177;
2020-06-09 13:45:59;0.108;
2020-06-09 18:28:36;0.237;
2020-06-11 01:45:47;0.287;
2020-06-11 10:57:44;0.206;
2020-06-11 13:42:05;0.15000001;
2020-06-11 19:19:01;0.19400001;
2020-06-12 10:57:57;0.18700001;
2020-06-12 17:19:31;0.27900001;
2020-06-14 22:25:04;0.237;
2020-06-15 08:23:16;0.23999999;
2020-06-15 16:56:36;0.119;
2020-06-16 20:19:16;0.40000001;
2020-06-18 02:30:04;0.33899999;
2020-06-22 22:08:51;0.303;
2020-06-25 18:06:59;0.206;
2020-06-27 00:27:34;0.191;
2020-06-29 14:19:03;0.168;
2020-07-06 19:36:22;0.20299999;
2020-07-09 15:07:19;0.205;
2020-07-13 08:54:05;0.109;
2020-07-15 09:11:27;0.64200002;
2020-07-17 10:04:33;0.221;
2020-07-22 08:28:16;0.169;
2020-07-27 13:15:17;0.17399999;
2020-07-28 13:15:56;0.45500001;
2020-08-11 20:55:46;0.161;
2020-08-12 05:27:29;0.38600001;
2020-08-12 07:06:43;0.18700001;
2020-08-17 19:15:57;0.27900001;
2020-08-20 13:04:18;0.221;
2020-08-24 20:25:28;0.192;
2020-08-30 14:13:27;0.19;
2020-09-01 01:21:55;0.176;
2020-09-05 06:24:44;0.36899999;
2020-09-09 15:09:44;0.153;
2020-09-11 09:01:18;0.368;
2020-09-14 11:26:27;0.21600001;
2020-09-15 22:42:01;0.248;
2020-09-18 10:02:24;0.354;
2020-09-20 10:23:45;0.13699999;
2020-09-24 01:04:59;0.205;
2020-09-27 22:04:55;0.28;
2020-10-01 20:35:25;0.19499999;
2020-10-05 01:11:22;0.33199999;
2020-10-05 18:05:24;0.271;
2020-10-08 20:07:15;0.15899999;
2020-10-12 14:56:08;0.245;
2020-10-13 19:16:15;0.154;
2020-10-14 07:04:04;0.184;
2020-10-15 07:24:32;0.146;
2020-10-16 07:32:32;0.20999999;
2020-10-17 20:05:38;0.13500001;
2020-10-19 05:43:08;0.16;
2020-10-21 10:26:25;0.54900002;
2020-10-25 23:27:41;0.223;
2020-10-29 07:17:09;0.15899999;
2020-10-31 15:20:14;0.146;
2020-11-03 13:39:14;0.191;
2020-11-05 23:41:34;0.214;
2020-11-06 13:45:17;0.102;
2020-11-07 18:09:04;0.149;
2020-11-10 11:50:48;0.089000002;
2020-11-13 23:56:07;0.16500001;
2020-11-15 00:07:26;0.244;
2020-11-18 20:42:16;0.227;
2020-11-19 22:38:09;0.186;
2020-11-20 16:11:35;0.28200001;
2020-11-23 08:56:08;0.24600001;
2020-11-24 09:03:30;0.134;
2020-11-24 16:37:55;0.229;
2020-11-27 20:56:32;0.134;
2020-11-30 20:09:32;0.163;
2020-12-02 10:45:26;0.182;
2020-12-03 11:35:04;0.57700002;
2020-12-05 20:27:12;0.18099999;
2020-12-08 19:43:30;0.29100001;
2020-12-10 20:43:34;0.169;
2020-12-12 19:40:55;0.244;
2020-12-13 20:42:13;0.221;
